"""Main Muscle Worked""","""Level""","""pic_right""","""Mechanics Type""","""Equipment""","""Type""","""name""","""Other Muscles"""
Hamstrings,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/723/Male/l/723_1.jpg,Compound,Barbell,Powerlifting,Sumo Deadlift with Bands,"Adductors, Forearms, Glutes, Lower Back, Middle Back, Quadriceps, Traps"
Hamstrings,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/724/Male/l/724_1.jpg,Compound,Barbell,Powerlifting,Sumo Deadlift with Chains,"Abductors, Adductors, Forearms, Glutes, Lower Back, Middle Back, Quadriceps, Traps"
Abdominals,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/2001/Male/l/2001_1.jpg,Compound,Body Only,Strength,3/4 Sit-Up,
Abdominals,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/225/Male/l/225_1.jpg,Isolation,Machine,Strength,Ab Crunch Machine,
Abdominals,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/110/Male/l/110_1.jpg,Compound,Other,Strength,Ab Roller,Shoulders
Abdominals,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/502/Male/l/502_1.jpg,Isolation,Kettlebells,Strength,Advanced Kettlebell Windmill,"Glutes, Hamstrings, Shoulders"
Abdominals,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/209/Male/l/209_1.jpg,Compound,Body Only,Strength,Air Bike,
Biceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/158/Male/l/158_1.jpg,Isolation,Dumbbell,Strength,Alternate Hammer Curl,Forearms
Abdominals,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/105/Male/l/105_1.jpg,Isolation,Body Only,Strength,Alternate Heel Touchers,
Biceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/125/Male/l/125_1.jpg,Isolation,Dumbbell,Strength,Alternate Incline Dumbbell Curl,Forearms
Shoulders,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/1781/Male/l/1781_1.jpg,Compound,Cable,Strength,Alternating Cable Shoulder Press,Triceps
Shoulders,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/880/Male/l/880_1.jpg,Isolation,Dumbbell,Strength,Alternating Deltoid Raise,
Chest,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/534/Male/l/534_1.jpg,Compound,Kettlebells,Strength,Alternating Floor Press,"Abdominals, Shoulders, Triceps"
Hamstrings,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/544/Male/l/544_1.jpg,Compound,Kettlebells,Strength,Alternating Hang Clean,"Biceps, Calves, Forearms, Glutes, Lower Back, Traps"
Shoulders,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/504/Male/l/504_1.jpg,Compound,Kettlebells,Strength,Alternating Kettlebell Press,Triceps
Middle Back,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/505/Male/l/505_1.jpg,Isolation,Kettlebells,Strength,Alternating Kettlebell Row,"Biceps, Lats"
Middle Back,Expert,http://www.bodybuilding.com/exercises/exerciseImages/sequences/506/Male/l/506_1.jpg,Compound,Kettlebells,Strength,Alternating Renegade Row,"Abdominals, Biceps, Chest, Lats, Triceps"
Shoulders,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/1811/Male/l/1811_1.jpg,Compound,Barbell,Strength,Anti-Gravity Press,"Middle Back, Traps, Triceps"
Shoulders,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/82/Male/l/82_1.jpg,Compound,Dumbbell,Strength,Arnold Dumbbell Press,Triceps
Chest,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/277/Male/l/277_1.jpg,Compound,Dumbbell,Strength,Around The Worlds,Shoulders
Shoulders,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/253/Male/l/253_1.jpg,Compound,Bands,Strength,Back Flyes - With Bands,"Middle Back, Triceps"
Calves,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/263/Male/l/263_1.jpg,Compound,Other,Strength,Balance Board,"Hamstrings, Quadriceps"
Hamstrings,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/861/Male/l/861_1.jpg,Isolation,Exercise Ball,Strength,Ball Leg Curl,"Calves, Glutes"
Lats,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/849/Male/l/849_1.jpg,Compound,Other,Strength,Band Assisted Pull-Up,"Abdominals, Forearms, Middle Back"
Adductors,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/850/Male/l/850_1.jpg,Isolation,Bands,Strength,Band Hip Adductions,
Shoulders,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/1351/Male/l/1351_1.jpg,Isolation,Bands,Strength,Band Pull Apart,"Middle Back, Traps"
Triceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/1211/Male/l/1211_1.jpg,Isolation,Bands,Strength,Band Skull Crusher,
Abdominals,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/207/Male/l/207_1.jpg,Compound,Barbell,Strength,Barbell Ab Rollout,"Lower Back, Shoulders"
Abdominals,Expert,http://www.bodybuilding.com/exercises/exerciseImages/sequences/206/Male/l/206_1.jpg,Compound,Barbell,Strength,Barbell Ab Rollout - On Knees,"Lower Back, Shoulders"
Chest,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/360/Male/l/360_1.jpg,Compound,Barbell,Strength,Barbell Bench Press - Medium Grip,"Shoulders, Triceps"
Biceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/169/Male/l/169_1.jpg,Isolation,Barbell,Strength,Barbell Curl,Forearms
Biceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/300/Male/l/300_1.jpg,Isolation,Barbell,Strength,Barbell Curls Lying Against An Incline,
Lower Back,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/112/Male/l/112_1.jpg,Compound,Barbell,Strength,Barbell Deadlift,"Calves, Forearms, Glutes, Hamstrings, Lats, Middle Back, Quadriceps, Traps"
Quadriceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/64/Male/l/64_1.jpg,Compound,Barbell,Strength,Barbell Full Squat,"Calves, Glutes, Hamstrings, Lower Back"
Chest,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/305/Male/l/305_1.jpg,Compound,Barbell,Strength,Barbell Guillotine Bench Press,"Shoulders, Triceps"
Quadriceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/84/Male/l/84_1.jpg,Compound,Barbell,Strength,Barbell Hack Squat,"Calves, Forearms, Hamstrings"
Chest,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/369/Male/l/369_1.jpg,Compound,Barbell,Strength,Barbell Incline Bench Press - Medium Grip,"Shoulders, Triceps"
Shoulders,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/306/Male/l/306_1.jpg,Compound,Barbell,Strength,Barbell Incline Shoulder Raise,Chest
Quadriceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/41/Male/l/41_1.jpg,Compound,Barbell,Strength,Barbell Lunge,"Calves, Glutes, Hamstrings"
Shoulders,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/307/Male/l/307_1.jpg,Compound,Barbell,Strength,Barbell Rear Delt Row,"Biceps, Lats, Middle Back"
Abdominals,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/1961/Male/l/1961_1.jpg,Compound,Barbell,Strength,Barbell Rollout from Bench,"Glutes, Hamstrings, Lats, Shoulders"
Calves,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/176/Male/l/176_1.jpg,Isolation,Barbell,Strength,Barbell Seated Calf Raise,
Shoulders,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/308/Male/l/308_1.jpg,Compound,Barbell,Strength,Barbell Shoulder Press,"Chest, Triceps"
Traps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/97/Male/l/97_1.jpg,Isolation,Barbell,Strength,Barbell Shrug,
Traps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/216/Male/l/216_1.jpg,Isolation,Barbell,Strength,Barbell Shrug Behind The Back,"Forearms, Middle Back"
Abdominals,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/87/Male/l/87_1.jpg,Isolation,Barbell,Strength,Barbell Side Bend,Lower Back
Quadriceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/310/Male/l/310_1.jpg,Compound,Barbell,Strength,Barbell Side Split Squat,"Calves, Hamstrings, Lower Back"
Quadriceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/31/Male/l/31_1.jpg,Compound,Barbell,Strength,Barbell Squat,"Calves, Glutes, Hamstrings, Lower Back"
Quadriceps,Expert,http://www.bodybuilding.com/exercises/exerciseImages/sequences/58/Male/l/58_1.jpg,Compound,Barbell,Strength,Barbell Squat To A Bench,"Calves, Glutes, Hamstrings, Lower Back"
Quadriceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/62/Male/l/62_1.jpg,Compound,Barbell,Strength,Barbell Step Ups,"Calves, Glutes, Hamstrings, Quadriceps"
Quadriceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/2241/Male/l/2241_1.jpg,Compound,Barbell,Strength,Barbell Walking Lunge,"Calves, Glutes, Hamstrings"
Shoulders,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/1711/Male/l/1711_1.jpg,Compound,Other,Strength,Battling Ropes,"Chest, Forearms"
Triceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/344/Male/l/344_1.jpg,Compound,Body Only,Strength,Bench Dips,"Chest, Shoulders"
Chest,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/254/Male/l/254_1.jpg,Compound,Bands,Strength,Bench Press - With Bands,"Shoulders, Triceps"
Middle Back,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/20/Male/l/20_1.jpg,Compound,Barbell,Strength,Bent Over Barbell Row,"Biceps, Lats, Shoulders"
Shoulders,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/83/Male/l/83_1.jpg,Isolation,Dumbbell,Strength,Bent Over Dumbbell Rear Delt Raise With Head On Bench,
Shoulders,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/73/Male/l/73_1.jpg,Isolation,Cable,Strength,Bent Over Low-Pulley Side Lateral,"Lower Back, Middle Back, Traps"
Middle Back,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/19/Male/l/19_1.jpg,Compound,Barbell,Strength,Bent Over One-Arm Long Bar Row,"Biceps, Lats, Lower Back, Traps"
Middle Back,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/18/Male/l/18_1.jpg,Compound,Barbell,Strength,Bent Over Two-Arm Long Bar Row,"Biceps, Lats"
Middle Back,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/16/Male/l/16_1.jpg,Compound,Dumbbell,Strength,Bent Over Two-Dumbbell Row,"Biceps, Lats, Shoulders"
Middle Back,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/17/Male/l/17_1.jpg,Compound,Dumbbell,Strength,Bent Over Two-Dumbbell Row With Palms In,"Biceps, Lats"
Abdominals,Expert,http://www.bodybuilding.com/exercises/exerciseImages/sequences/196/Male/l/196_1.jpg,Compound,Kettlebells,Strength,Bent Press,"Glutes, Hamstrings, Lower Back, Quadriceps, Shoulders, Triceps"
Lats,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/49/Male/l/49_1.jpg,Compound,Barbell,Strength,Bent-Arm Barbell Pullover,"Chest, Lats, Shoulders, Triceps"
Chest,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/40/Male/l/40_1.jpg,Compound,Dumbbell,Strength,Bent-Arm Dumbbell Pullover,"Lats, Shoulders, Triceps"
Abdominals,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/118/Male/l/118_1.jpg,Compound,Body Only,Strength,Bent-Knee Hip Raise,
Triceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/1291/Male/l/1291_1.jpg,Isolation,Body Only,Strength,Body Tricep Press,
Triceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/1651/Male/l/1651_1.jpg,Isolation,Body Only,Strength,Body-Up,"Abdominals, Forearms"
Chest,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/1561/Male/l/1561_1.jpg,Isolation,E-Z Curl Bar,Strength,Bodyweight Flyes,"Abdominals, Shoulders, Triceps"
Middle Back,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/1911/Male/l/1911_1.jpg,Compound,Other,Strength,Bodyweight Mid Row,"Biceps, Lats"
Quadriceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/855/Male/l/855_1.jpg,Compound,Body Only,Strength,Bodyweight Squat,"Glutes, Hamstrings"
Quadriceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/2161/Male/l/2161_1.jpg,Compound,None,Strength,Bodyweight Walking Lunge,"Calves, Glutes, Hamstrings"
Abdominals,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/932/Male/l/932_1.jpg,Isolation,Cable,Strength,Bosu Ball Cable Crunch With Side Bends,
Abdominals,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/2021/Male/l/2021_1.jpg,Compound,Body Only,Strength,Bottoms Up,
Forearms,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/507/Male/l/507_1.jpg,Compound,Kettlebells,Strength,Bottoms-Up Clean From The Hang Position,"Biceps, Shoulders"
Quadriceps,Expert,http://www.bodybuilding.com/exercises/exerciseImages/sequences/667/Male/l/667_1.jpg,Compound,Barbell,Strength,Box Squat with Chains,"Abductors, Adductors, Calves, Glutes, Hamstrings, Lower Back"
Shoulders,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/291/Male/l/291_1.jpg,Compound,Barbell,Strength,Bradford/Rocky Presses,Triceps
Glutes,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/99/Male/l/99_1.jpg,Isolation,Body Only,Strength,Butt Lift (Bridge),Hamstrings
Abdominals,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/127/Male/l/127_1.jpg,Compound,Body Only,Strength,Butt-Ups,
Chest,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/214/Male/l/214_1.jpg,Isolation,Machine,Strength,Butterfly,
Chest,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/870/Male/l/870_1.jpg,Compound,Cable,Strength,Cable Chest Press,"Shoulders, Triceps"
Chest,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/132/Male/l/132_1.jpg,Isolation,Cable,Strength,Cable Crossover,Shoulders
Abdominals,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/163/Male/l/163_1.jpg,Isolation,Cable,Strength,Cable Crunch,
Quadriceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/860/Male/l/860_1.jpg,Compound,Cable,Strength,Cable Deadlifts,"Forearms, Glutes, Hamstrings, Lower Back"
Biceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/189/Male/l/189_1.jpg,Isolation,Cable,Strength,Cable Hammer Curls - Rope Attachment,
Quadriceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/312/Male/l/312_1.jpg,Isolation,Cable,Strength,Cable Hip Adduction,
Lats,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/313/Male/l/313_1.jpg,Isolation,Cable,Strength,Cable Incline Pushdown,
Triceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/314/Male/l/314_1.jpg,Isolation,Cable,Strength,Cable Incline Triceps Extension,
Shoulders,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/315/Male/l/315_1.jpg,Compound,Cable,Strength,Cable Internal Rotation,
Chest,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/2111/Male/l/2111_1.jpg,Isolation,Cable,Strength,Cable Iron Cross,
Abdominals,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/939/Male/l/939_1.jpg,Compound,Cable,Strength,Cable Judo Flip,
Triceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/161/Male/l/161_1.jpg,Isolation,Cable,Strength,Cable Lying Triceps Extension,
Triceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/80/Male/l/80_1.jpg,Isolation,Cable,Strength,Cable One Arm Tricep Extension,
Biceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/221/Male/l/221_1.jpg,Isolation,Cable,Strength,Cable Preacher Curl,Forearms
Shoulders,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/867/Male/l/867_1.jpg,Isolation,Cable,Strength,Cable Rear Delt Fly,
Abdominals,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/938/Male/l/938_1.jpg,Isolation,Cable,Strength,Cable Reverse Crunch,
Triceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/220/Male/l/220_1.jpg,Isolation,Cable,Strength,Cable Rope Overhead Triceps Extension,
Shoulders,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/299/Male/l/299_1.jpg,Compound,Cable,Strength,Cable Rope Rear-Delt Rows,"Biceps, Middle Back"
Abdominals,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/940/Male/l/940_1.jpg,Compound,Cable,Strength,Cable Russian Twists,
Abdominals,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/316/Male/l/316_1.jpg,Isolation,Cable,Strength,Cable Seated Crunch,
Shoulders,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/79/Male/l/79_1.jpg,Isolation,Cable,Strength,Cable Seated Lateral Raise,"Middle Back, Traps"
Shoulders,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/848/Male/l/848_1.jpg,Compound,Cable,Strength,Cable Shoulder Press,Triceps
Traps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/133/Male/l/133_1.jpg,Isolation,Cable,Strength,Cable Shrugs,
Forearms,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/317/Male/l/317_1.jpg,Isolation,Cable,Strength,Cable Wrist Curl,
Calves,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/862/Male/l/862_1.jpg,Isolation,Machine,Strength,Calf Press,
Calves,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/215/Male/l/215_1.jpg,Isolation,Machine,Strength,Calf Press On The Leg Press Machine,
Calves,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/242/Male/l/242_1.jpg,Isolation,Dumbbell,Strength,Calf Raise On A Dumbbell,
Calves,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/256/Male/l/256_1.jpg,Isolation,Bands,Strength,Calf Raises - With Bands,
Traps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/184/Male/l/184_1.jpg,Isolation,Machine,Strength,Calf-Machine Shoulder Shrug,
Shoulders,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/1771/Male/l/1771_1.jpg,Isolation,Barbell,Strength,Car Drivers,Forearms
Quadriceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/1821/Male/l/1821_1.jpg,Compound,Machine,Strength,Chair Squat,"Calves, Glutes, Hamstrings"
Lats,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/129/Male/l/129_1.jpg,Compound,Body Only,Strength,Chin-Up,"Biceps, Forearms, Middle Back"
Shoulders,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/864/Male/l/864_1.jpg,Compound,Barbell,Strength,Clean and Press,"Abdominals, Calves, Glutes, Hamstrings, Lower Back, Middle Back, Quadriceps, Shoulders, Traps, Triceps"
Chest,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/1581/Male/l/1581_1.jpg,Compound,Body Only,Strength,Clock Push-Up,"Shoulders, Triceps"
Triceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/23/Male/l/23_1.jpg,Compound,Barbell,Strength,Close-Grip Barbell Bench Press,"Chest, Shoulders"
Triceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/1611/Male/l/1611_1.jpg,Compound,Dumbbell,Strength,Close-Grip Dumbbell Press,"Chest, Shoulders"
Biceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/238/Male/l/238_1.jpg,Isolation,Barbell,Strength,Close-Grip EZ Bar Curl,Forearms
Biceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/1631/Male/l/1631_1.jpg,Isolation,E-Z Curl Bar,Strength,Close-Grip EZ-Bar Curl with Band,Forearms
Triceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/1701/Male/l/1701_1.jpg,Compound,E-Z Curl Bar,Strength,Close-Grip EZ-Bar Press,"Chest, Shoulders"
Lats,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/14/Male/l/14_1.jpg,Compound,Cable,Strength,Close-Grip Front Lat Pulldown,"Biceps, Middle Back, Shoulders"
Triceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/1661/Male/l/1661_1.jpg,Compound,Body Only,Strength,Close-Grip Push-Up off of a Dumbbell,"Abdominals, Chest, Shoulders"
Biceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/276/Male/l/276_1.jpg,Isolation,Barbell,Strength,Close-Grip Standing Barbell Curl,Forearms
Abdominals,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/2011/Male/l/2011_1.jpg,Compound,Body Only,Strength,Cocoons,
Biceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/136/Male/l/136_1.jpg,Isolation,Dumbbell,Strength,Concentration Curls,Forearms
Biceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/236/Male/l/236_1.jpg,Isolation,Dumbbell,Strength,Cross Body Hammer Curl,Forearms
Chest,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/257/Male/l/257_1.jpg,Compound,Bands,Strength,Cross Over - With Bands,"Biceps, Shoulders"
Abdominals,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/124/Male/l/124_1.jpg,Compound,Body Only,Strength,Cross-Body Crunch,
Abdominals,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/113/Male/l/113_1.jpg,Isolation,Body Only,Strength,Crunch - Hands Overhead,
Abdominals,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/116/Male/l/116_1.jpg,Isolation,Body Only,Strength,Crunch - Legs On Exercise Ball,
Abdominals,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/102/Male/l/102_1.jpg,Isolation,Body Only,Strength,Crunches,
Shoulders,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/199/Male/l/199_1.jpg,Compound,Dumbbell,Strength,Cuban Press,Traps
Abdominals,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/2733/Male/l/2733_1.jpg,Compound,Body Only,Strength,Dead Bug,
Chest,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/34/Male/l/34_1.jpg,Compound,Barbell,Strength,Decline Barbell Bench Press,"Shoulders, Triceps"
Triceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/288/Male/l/288_1.jpg,Compound,Barbell,Strength,Decline Close-Grip Bench To Skull Crusher,"Chest, Shoulders"
Abdominals,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/193/Male/l/193_1.jpg,Isolation,Body Only,Strength,Decline Crunch,
Chest,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/51/Male/l/51_1.jpg,Compound,Dumbbell,Strength,Decline Dumbbell Bench Press,"Shoulders, Triceps"
Chest,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/36/Male/l/36_1.jpg,Compound,Dumbbell,Strength,Decline Dumbbell Flyes,
Triceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/167/Male/l/167_1.jpg,Isolation,Dumbbell,Strength,Decline Dumbbell Triceps Extension,
Triceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/166/Male/l/166_1.jpg,Isolation,Barbell,Strength,Decline EZ Bar Triceps Extension,
Abdominals,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/211/Male/l/211_1.jpg,Compound,Body Only,Strength,Decline Oblique Crunch,
Chest,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/1411/Male/l/1411_1.jpg,Compound,None,Strength,Decline Push-Up,"Shoulders, Triceps"
Abdominals,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/194/Male/l/194_1.jpg,Compound,Body Only,Strength,Decline Reverse Crunch,
Chest,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/1601/Male/l/1601_1.jpg,Compound,Machine,Strength,Decline Smith Press,"Shoulders, Triceps"
Triceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/146/Male/l/146_1.jpg,Compound,Machine,Strength,Dip Machine,"Chest, Shoulders"
Chest,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/145/Male/l/145_1.jpg,Compound,Other,Strength,Dips - Chest Version,"Shoulders, Triceps"
Triceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/55/Male/l/55_1.jpg,Compound,Body Only,Strength,Dips - Triceps Version,"Chest, Shoulders"
Calves,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/296/Male/l/296_1.jpg,Isolation,Other,Strength,Donkey Calf Raises,
Hamstrings,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/553/Male/l/553_1.jpg,Compound,Kettlebells,Strength,Double Kettlebell Alternating Hang Clean,"Biceps, Calves, Forearms, Glutes, Lower Back, Quadriceps, Traps"
Shoulders,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/557/Male/l/557_1.jpg,Compound,Kettlebells,Strength,Double Kettlebell Jerk,"Calves, Quadriceps, Triceps"
Shoulders,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/532/Male/l/532_1.jpg,Compound,Kettlebells,Strength,Double Kettlebell Push Press,"Calves, Quadriceps, Triceps"
Shoulders,Expert,http://www.bodybuilding.com/exercises/exerciseImages/sequences/535/Male/l/535_1.jpg,Compound,Kettlebells,Strength,Double Kettlebell Snatch,"Glutes, Hamstrings, Quadriceps"
Abdominals,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/508/Male/l/508_1.jpg,N/A,Kettlebells,Strength,Double Kettlebell Windmill,"Glutes, Hamstrings, Shoulders, Triceps"
Glutes,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/422/Male/l/422_1.jpg,Isolation,Exercise Ball,Strength,Downward Facing Balance,"Abdominals, Hamstrings"
Biceps,Intermediate,http://www.bodybuilding.com/exercises/exerciseImages/sequences/174/Male/l/174_1.jpg,Compound,Barbell,Strength,Drag Curl,Forearms
Biceps,Beginner,http://www.bodybuilding.com/exercises/exerciseImages/sequences/234/Male/l/234_1.jpg,Isolation,Dumbbell,Strength,Dumbbell Alternate Bicep Curl,Forearms
